group_a,group_b,domain_a,domain_b,same_domain,js_divergence,jaccard_similarity,affinity_correlation,plan_hit_rate_estimate
cooking_1,history_1,cooking,history,False,0.005907,1.0,0.951967,0.5717
cooking_1,history_2,cooking,history,False,0.00603,1.0,0.952059,0.5692
cooking_1,ml_moe_1,cooking,ml_moe,False,0.005858,1.0,0.953041,0.5701
cooking_1,ml_moe_2,cooking,ml_moe,False,0.006071,1.0,0.952901,0.5707
cooking_1,ml_moe_3,cooking,ml_moe,False,0.005853,1.0,0.952972,0.5728
history_1,history_2,history,history,True,0.001252,1.0,0.987629,0.5692
history_1,ml_moe_1,history,ml_moe,False,0.003916,1.0,0.966562,0.5701
history_1,ml_moe_2,history,ml_moe,False,0.003844,1.0,0.967224,0.5707
history_1,ml_moe_3,history,ml_moe,False,0.004097,1.0,0.964834,0.5728
history_2,ml_moe_1,history,ml_moe,False,0.00415,1.0,0.966342,0.5701
history_2,ml_moe_2,history,ml_moe,False,0.00409,1.0,0.967089,0.5707
history_2,ml_moe_3,history,ml_moe,False,0.004418,1.0,0.96401,0.5728
ml_moe_1,ml_moe_2,ml_moe,ml_moe,True,0.000681,1.0,0.99028,0.5707
ml_moe_1,ml_moe_3,ml_moe,ml_moe,True,0.001294,1.0,0.98447,0.5728
ml_moe_2,ml_moe_3,ml_moe,ml_moe,True,0.00104,1.0,0.986217,0.5728
