busy_ns,bytes_carried,dst,epoch_end_ns,epoch_start_ns,generation,src
,,18,12512460.799999988,6903889.920000002,1,0
,,29,12512460.799999988,6903889.920000002,1,0
,,18,12512460.799999988,6903889.920000002,1,1
,,19,12512460.799999988,6903889.920000002,1,1
,,24,12512460.799999988,6903889.920000002,1,2
,,29,12512460.799999988,6903889.920000002,1,2
,,22,12512460.799999988,6903889.920000002,1,3
,,24,12512460.799999988,6903889.920000002,1,3
,,19,19416350.71999998,22512460.79999999,2,0
,,29,19416350.71999998,22512460.79999999,2,0
,,19,19416350.71999998,22512460.79999999,2,1
,,28,19416350.71999998,22512460.79999999,2,1
,,27,19416350.71999998,22512460.79999999,2,2
,,28,19416350.71999998,22512460.79999999,2,2
,,24,19416350.71999998,22512460.79999999,2,3
,,27,19416350.71999998,22512460.79999999,2,3
0.0,0.0,29,26004521.0,29416350.71999998,3,2
0.0,0.0,22,26004521.0,29416350.71999998,3,3
0.0,0.0,18,26004521.0,29416350.71999998,3,0
0.0,0.0,29,26004521.0,29416350.71999998,3,0
0.0,0.0,18,26004521.0,29416350.71999998,3,1
0.0,0.0,19,26004521.0,29416350.71999998,3,1
0.0,0.0,24,26004521.0,29416350.71999998,3,3
0.0,0.0,24,26004521.0,29416350.71999998,3,2
