collective,phase,start_ns,finish_ns,network_ns,bytes,n_flows,eps_bytes,ocs_bytes,peak_core_utilisation,peak_port_queue_mb
0,dispatch,0.0,1746042.9,1746042.9,164978688.0,124,87302144.0,0,1.0,38.0631
1,combine,1746042.9,3492085.8,1746042.9,164978688.0,124,87302144.0,0,1.0,10.1287
2,dispatch,3492085.8,5197987.8,1705902.1,164495360.0,124,85295104.0,0,1.0,41.8272
3,combine,5197987.8,6903889.9,1705902.1,164495360.0,124,85295104.0,0,1.0,9.1373
4,dispatch,6903889.9,8239595.5,1335705.6,159600640.0,124,66785280.0,9846784.0,1.0,40.1585
5,combine,8239595.5,9575301.1,1335705.6,159600640.0,124,66785280.0,9846784.0,1.0,8.9822
6,dispatch,9575301.1,11043881.0,1468579.8,152031232.0,124,73428992.0,14643200.0,1.0,38.7858
7,combine,11043881.0,12512460.8,1468579.8,152031232.0,124,73428992.0,14643200.0,1.0,11.5815
8,dispatch,12512460.8,14258503.7,1746042.9,164978688.0,124,87302144.0,0,1.0,42.1861
9,combine,14258503.7,16004546.6,1746042.9,164978688.0,124,87302144.0,0,1.0,10.1301
10,dispatch,16004546.6,17710448.6,1705902.1,164495360.0,124,85295104.0,0,1.0,41.8857
11,combine,17710448.6,19416350.7,1705902.1,164495360.0,124,85295104.0,0,1.0,9.1387
12,dispatch,19416350.7,20948992.0,1532641.3,159600640.0,124,76632064.0,0,1.0,40.2225
13,combine,20948992.0,22481633.3,1532641.3,159600640.0,124,76632064.0,0,1.0,8.9889
14,dispatch,22481633.3,24243077.1,1761443.8,152031232.0,124,88072192.0,0,1.0,38.5749
15,combine,24243077.1,26004521.0,1761443.8,152031232.0,124,88072192.0,0,1.0,11.586
