t_ns,collective,label,n_active_flows,n_eps_flows,n_ocs_flows,core_bw_gbps,core_utilisation,core_queue_mb,ocs_bw_gbps,ocs_bytes_carried_mb,port_queue_mb_max,n_dark
33578.1,0,,124,64,0,50.0,1.0,85.6232,0,0.0,38.0631,0
35271.1,0,,123,64,0,50.0,1.0,85.5386,0,0.0,37.8665,0
35578.1,0,,122,64,0,50.0,1.0,85.5232,0,0.0,37.8308,0
37246.3,0,,122,64,0,50.0,1.0,85.4398,0,0.0,37.6373,0
37578.1,0,,121,64,0,50.0,1.0,85.4232,0,0.0,37.5988,0
39578.1,0,,121,64,0,50.0,1.0,85.3232,0,0.0,37.3669,0
41578.1,0,,121,64,0,50.0,1.0,85.2232,0,0.0,37.1351,0
43578.1,0,,121,64,0,50.0,1.0,85.1232,0,0.0,36.9032,0
43736.2,0,,121,64,0,50.0,1.0,85.1153,0,0.0,36.8849,0
44864.9,0,,120,64,0,50.0,1.0,85.0589,0,0.0,36.7541,0
45578.1,0,,119,64,0,50.0,1.0,85.0232,0,0.0,36.6716,0
47076.7,0,,119,64,0,50.0,1.0,84.9483,0,0.0,36.4982,0
47578.1,0,,118,64,0,50.0,1.0,84.9232,0,0.0,36.4402,0
49578.1,0,,118,64,0,50.0,1.0,84.8232,0,0.0,36.209,0
51578.1,0,,118,64,0,50.0,1.0,84.7232,0,0.0,35.9777,0
53578.1,0,,118,64,0,50.0,1.0,84.6232,0,0.0,35.7465,0
55578.1,0,,118,64,0,50.0,1.0,84.5232,0,0.0,35.5152,0
57578.1,0,,118,64,0,50.0,1.0,84.4232,0,0.0,35.284,0
59578.1,0,,118,64,0,50.0,1.0,84.3232,0,0.0,35.0527,0
61578.1,0,,118,64,0,50.0,1.0,84.2232,0,0.0,34.8215,0
63578.1,0,,118,64,0,50.0,1.0,84.1232,0,0.0,34.5903,0
63979.5,0,,118,64,0,50.0,1.0,84.1032,0,0.0,34.5438,0
65578.1,0,,117,64,0,50.0,1.0,84.0232,0,0.0,34.3592,0
66082.1,0,,117,64,0,50.0,1.0,83.998,0,0.0,34.301,0
67493.0,0,,116,64,0,50.0,1.0,83.9275,0,0.0,34.1381,0
67578.1,0,,115,64,0,50.0,1.0,83.9232,0,0.0,34.1283,0
67611.3,0,,115,64,0,50.0,1.0,83.9216,0,0.0,34.1245,0
69578.1,0,,114,64,0,50.0,1.0,83.8232,0,0.0,33.8979,0
71578.1,0,,114,64,0,50.0,1.0,83.7232,0,0.0,33.6675,0
73578.1,0,,114,64,0,50.0,1.0,83.6232,0,0.0,33.4372,0
73992.0,0,,114,64,0,50.0,1.0,83.6025,0,0.0,33.3895,0
75578.1,0,,113,64,0,50.0,1.0,83.5232,0,0.0,33.2253,0
76913.8,0,,113,64,0,50.0,1.0,83.4565,0,0.0,33.087,0
77578.1,0,,112,64,0,50.0,1.0,83.4232,0,0.0,33.0182,0
78706.9,0,,112,64,0,50.0,1.0,83.3668,0,0.0,32.9015,0
79578.1,0,,111,64,0,50.0,1.0,83.3232,0,0.0,32.8115,0
80063.1,0,,111,64,0,50.0,1.0,83.299,0,0.0,32.7613,0
80390.8,0,,110,64,0,50.0,1.0,83.2826,0,0.0,32.7316,0
81578.1,0,,109,64,0,50.0,1.0,83.2232,0,0.0,32.6238,0
83578.1,0,,109,64,0,50.0,1.0,83.1232,0,0.0,32.4424,0
85578.1,0,,109,64,0,50.0,1.0,83.0232,0,0.0,32.2609,0
85834.0,0,,109,64,0,50.0,1.0,83.0104,0,0.0,32.2377,0
87108.3,0,,108,64,0,50.0,1.0,82.9467,0,0.0,32.1223,0
87578.1,0,,107,64,0,50.0,1.0,82.9232,0,0.0,32.0798,0
89493.0,0,,107,64,0,50.0,1.0,82.8275,0,0.0,31.9064,0
89578.1,0,,106,64,0,50.0,1.0,82.8232,0,0.0,31.8999,0
91578.1,0,,106,64,0,50.0,1.0,82.7232,0,0.0,31.7457,0
93578.1,0,,106,64,0,50.0,1.0,82.6232,0,0.0,31.5916,0
94408.2,0,,106,64,0,50.0,1.0,82.5817,0,0.0,31.5276,0
95578.1,0,,105,64,0,50.0,1.0,82.5232,0,0.0,31.4543,0
96246.9,0,,105,64,0,50.0,1.0,82.4898,0,0.0,31.4125,0
97578.1,0,,104,64,0,50.0,1.0,82.4232,0,0.0,31.3293,0
99578.1,0,,104,64,0,50.0,1.0,82.3232,0,0.0,31.2043,0
101578.1,0,,104,64,0,50.0,1.0,82.2232,0,0.0,31.0793,0
102591.1,0,,104,64,0,50.0,1.0,82.1726,0,0.0,31.016,0
103578.1,0,,103,64,0,50.0,1.0,82.1232,0,0.0,30.9544,0
105578.1,0,,103,64,0,50.0,1.0,82.0232,0,0.0,30.8297,0
106141.0,0,,103,64,0,50.0,1.0,81.9951,0,0.0,30.7946,0
106942.0,0,,102,64,0,50.0,1.0,81.955,0,0.0,30.7447,0
107578.1,0,,101,64,0,50.0,1.0,81.9232,0,0.0,30.7052,0
108316.4,0,,101,64,0,50.0,1.0,81.8863,0,0.0,30.6593,0
109578.1,0,,100,64,0,50.0,1.0,81.8232,0,0.0,30.5811,0
111578.1,0,,100,64,0,50.0,1.0,81.7232,0,0.0,30.4571,0
112157.6,0,,100,64,0,50.0,1.0,81.6943,0,0.0,30.4211,0
113578.1,0,,99,64,0,50.0,1.0,81.6232,0,0.0,30.3553,0
114005.3,0,,99,64,0,50.0,1.0,81.6019,0,0.0,30.3354,0
115578.1,0,,98,64,0,50.0,1.0,81.5232,0,0.0,30.2627,0
117578.1,0,,98,64,0,50.0,1.0,81.4232,0,0.0,30.1702,0
117746.3,0,,98,64,0,50.0,1.0,81.4148,0,0.0,30.1624,0
118984.2,0,,97,64,0,50.0,1.0,81.3529,0,0.0,30.1054,0
119578.1,0,,96,64,0,50.0,1.0,81.3232,0,0.0,30.088,0
121578.1,0,,96,64,0,50.0,1.0,81.2232,0,0.0,30.0297,0
123578.1,0,,96,64,0,50.0,1.0,81.1232,0,0.0,29.9714,0
125578.1,0,,96,64,0,50.0,1.0,81.0232,0,0.0,29.913,0
127578.1,0,,96,64,0,50.0,1.0,80.9232,0,0.0,29.8547,0
129578.1,0,,96,64,0,50.0,1.0,80.8232,0,0.0,29.7964,0
131578.1,0,,96,64,0,50.0,1.0,80.7232,0,0.0,29.738,0
133578.1,0,,96,64,0,50.0,1.0,80.6232,0,0.0,29.6797,0
135578.1,0,,96,64,0,50.0,1.0,80.5232,0,0.0,29.6214,0
137578.1,0,,96,64,0,50.0,1.0,80.4232,0,0.0,29.563,0
139578.1,0,,96,64,0,50.0,1.0,80.3232,0,0.0,29.5047,0
141578.1,0,,96,64,0,50.0,1.0,80.2232,0,0.0,29.4464,0
143578.1,0,,96,64,0,50.0,1.0,80.1232,0,0.0,29.388,0
145578.1,0,,96,64,0,50.0,1.0,80.0232,0,0.0,29.3297,0
147578.1,0,,96,64,0,50.0,1.0,79.9232,0,0.0,29.2714,0
149578.1,0,,96,64,0,50.0,1.0,79.8232,0,0.0,29.213,0
151578.1,0,,96,64,0,50.0,1.0,79.7232,0,0.0,29.1547,0
153578.1,0,,96,64,0,50.0,1.0,79.6232,0,0.0,29.0964,0
155578.1,0,,96,64,0,50.0,1.0,79.5232,0,0.0,29.038,0
157578.1,0,,96,64,0,50.0,1.0,79.4232,0,0.0,28.9797,0
159578.1,0,,96,64,0,50.0,1.0,79.3232,0,0.0,28.9214,0
161578.1,0,,96,64,0,50.0,1.0,79.2232,0,0.0,28.863,0
163578.1,0,,96,64,0,50.0,1.0,79.1232,0,0.0,28.8047,0
165578.1,0,,96,64,0,50.0,1.0,79.0232,0,0.0,28.7464,0
167578.1,0,,96,64,0,50.0,1.0,78.9232,0,0.0,28.688,0
169578.1,0,,96,64,0,50.0,1.0,78.8232,0,0.0,28.6297,0
171578.1,0,,96,64,0,50.0,1.0,78.7232,0,0.0,28.5714,0
173578.1,0,,96,64,0,50.0,1.0,78.6232,0,0.0,28.513,0
175578.1,0,,96,64,0,50.0,1.0,78.5232,0,0.0,28.4547,0
177578.1,0,,96,64,0,50.0,1.0,78.4232,0,0.0,28.3964,0
179578.1,0,,96,64,0,50.0,1.0,78.3232,0,0.0,28.338,0
181578.1,0,,96,64,0,50.0,1.0,78.2232,0,0.0,28.2797,0
183578.1,0,,96,64,0,50.0,1.0,78.1232,0,0.0,28.2214,0
185578.1,0,,96,64,0,50.0,1.0,78.0232,0,0.0,28.163,0
187578.1,0,,96,64,0,50.0,1.0,77.9232,0,0.0,28.1047,0
189578.1,0,,96,64,0,50.0,1.0,77.8232,0,0.0,28.0464,0
191578.1,0,,96,64,0,50.0,1.0,77.7232,0,0.0,27.988,0
193578.1,0,,96,64,0,50.0,1.0,77.6232,0,0.0,27.9297,0
195578.1,0,,96,64,0,50.0,1.0,77.5232,0,0.0,27.8714,0
197578.1,0,,96,64,0,50.0,1.0,77.4232,0,0.0,27.813,0
199578.1,0,,96,64,0,50.0,1.0,77.3232,0,0.0,27.7547,0
201578.1,0,,96,64,0,50.0,1.0,77.2232,0,0.0,27.6964,0
203578.1,0,,96,64,0,50.0,1.0,77.1232,0,0.0,27.638,0
205578.1,0,,96,64,0,50.0,1.0,77.0232,0,0.0,27.5797,0
207578.1,0,,96,64,0,50.0,1.0,76.9232,0,0.0,27.5214,0
209578.1,0,,96,64,0,50.0,1.0,76.8232,0,0.0,27.463,0
211578.1,0,,96,64,0,50.0,1.0,76.7232,0,0.0,27.4047,0
213578.1,0,,96,64,0,50.0,1.0,76.6232,0,0.0,27.3464,0
215578.1,0,,96,64,0,50.0,1.0,76.5232,0,0.0,27.288,0
217578.1,0,,96,64,0,50.0,1.0,76.4232,0,0.0,27.2297,0
219578.1,0,,96,64,0,50.0,1.0,76.3232,0,0.0,27.1714,0
221578.1,0,,96,64,0,50.0,1.0,76.2232,0,0.0,27.113,0
223578.1,0,,96,64,0,50.0,1.0,76.1232,0,0.0,27.0547,0
225578.1,0,,96,64,0,50.0,1.0,76.0232,0,0.0,26.9964,0
227578.1,0,,96,64,0,50.0,1.0,75.9232,0,0.0,26.938,0
229578.1,0,,96,64,0,50.0,1.0,75.8232,0,0.0,26.8797,0
231578.1,0,,96,64,0,50.0,1.0,75.7232,0,0.0,26.8214,0
233578.1,0,,96,64,0,50.0,1.0,75.6232,0,0.0,26.763,0
235578.1,0,,96,64,0,50.0,1.0,75.5232,0,0.0,26.7047,0
237578.1,0,,96,64,0,50.0,1.0,75.4232,0,0.0,26.6464,0
239578.1,0,,96,64,0,50.0,1.0,75.3232,0,0.0,26.588,0
241578.1,0,,96,64,0,50.0,1.0,75.2232,0,0.0,26.5297,0
243578.1,0,,96,64,0,50.0,1.0,75.1232,0,0.0,26.4714,0
245578.1,0,,96,64,0,50.0,1.0,75.0232,0,0.0,26.413,0
247578.1,0,,96,64,0,50.0,1.0,74.9232,0,0.0,26.3547,0
249578.1,0,,96,64,0,50.0,1.0,74.8232,0,0.0,26.2964,0
251578.1,0,,96,64,0,50.0,1.0,74.7232,0,0.0,26.238,0
253578.1,0,,96,64,0,50.0,1.0,74.6232,0,0.0,26.1797,0
255578.1,0,,96,64,0,50.0,1.0,74.5232,0,0.0,26.1214,0
257578.1,0,,96,64,0,50.0,1.0,74.4232,0,0.0,26.063,0
259578.1,0,,96,64,0,50.0,1.0,74.3232,0,0.0,26.0047,0
261578.1,0,,96,64,0,50.0,1.0,74.2232,0,0.0,25.9464,0
263578.1,0,,96,64,0,50.0,1.0,74.1232,0,0.0,25.888,0
265578.1,0,,96,64,0,50.0,1.0,74.0232,0,0.0,25.8297,0
267578.1,0,,96,64,0,50.0,1.0,73.9232,0,0.0,25.7714,0
269578.1,0,,96,64,0,50.0,1.0,73.8232,0,0.0,25.713,0
271578.1,0,,96,64,0,50.0,1.0,73.7232,0,0.0,25.6547,0
273578.1,0,,96,64,0,50.0,1.0,73.6232,0,0.0,25.5964,0
275578.1,0,,96,64,0,50.0,1.0,73.5232,0,0.0,25.538,0
277578.1,0,,96,64,0,50.0,1.0,73.4232,0,0.0,25.4797,0
279578.1,0,,96,64,0,50.0,1.0,73.3232,0,0.0,25.4214,0
281578.1,0,,96,64,0,50.0,1.0,73.2232,0,0.0,25.363,0
283578.1,0,,96,64,0,50.0,1.0,73.1232,0,0.0,25.3047,0
285578.1,0,,96,64,0,50.0,1.0,73.0232,0,0.0,25.2464,0
287578.1,0,,96,64,0,50.0,1.0,72.9232,0,0.0,25.188,0
289578.1,0,,96,64,0,50.0,1.0,72.8232,0,0.0,25.1297,0
291578.1,0,,96,64,0,50.0,1.0,72.7232,0,0.0,25.0714,0
293578.1,0,,96,64,0,50.0,1.0,72.6232,0,0.0,25.013,0
295578.1,0,,96,64,0,50.0,1.0,72.5232,0,0.0,24.9547,0
297578.1,0,,96,64,0,50.0,1.0,72.4232,0,0.0,24.8964,0
299578.1,0,,96,64,0,50.0,1.0,72.3232,0,0.0,24.838,0
301578.1,0,,96,64,0,50.0,1.0,72.2232,0,0.0,24.7797,0
303578.1,0,,96,64,0,50.0,1.0,72.1232,0,0.0,24.7214,0
305578.1,0,,96,64,0,50.0,1.0,72.0232,0,0.0,24.663,0
307578.1,0,,96,64,0,50.0,1.0,71.9232,0,0.0,24.6047,0
309578.1,0,,96,64,0,50.0,1.0,71.8232,0,0.0,24.5464,0
311578.1,0,,96,64,0,50.0,1.0,71.7232,0,0.0,24.488,0
313578.1,0,,96,64,0,50.0,1.0,71.6232,0,0.0,24.4297,0
315578.1,0,,96,64,0,50.0,1.0,71.5232,0,0.0,24.3714,0
317578.1,0,,96,64,0,50.0,1.0,71.4232,0,0.0,24.313,0
319578.1,0,,96,64,0,50.0,1.0,71.3232,0,0.0,24.2547,0
