t_ns,collective,label,n_active_flows,n_eps_flows,n_ocs_flows,core_bw_gbps,core_utilisation,core_queue_mb,ocs_bw_gbps,ocs_bytes_carried_mb,port_queue_mb_max,n_dark
33578.1,0,,124,64,0,50.0,1.0,83.2517,0,0.0,38.0631,0
35578.1,0,,123,64,0,50.0,1.0,83.1517,0,0.0,37.8308,0
37578.1,0,,123,64,0,50.0,1.0,83.0517,0,0.0,37.5985,0
39578.1,0,,123,64,0,50.0,1.0,82.9517,0,0.0,37.3662,0
41578.1,0,,123,64,0,50.0,1.0,82.8517,0,0.0,37.134,0
43578.1,0,,123,64,0,50.0,1.0,82.7517,0,0.0,36.9017,0
45578.1,0,,123,64,0,50.0,1.0,82.6517,0,0.0,36.6694,0
47578.1,0,,123,64,0,50.0,1.0,82.5517,0,0.0,36.4371,0
49578.1,0,,123,64,0,50.0,1.0,82.4517,0,0.0,36.2048,0
51578.1,0,,123,64,0,50.0,1.0,82.3517,0,0.0,35.9725,0
53578.1,0,,123,64,0,50.0,1.0,82.2517,0,0.0,35.7402,0
55578.1,0,,123,64,0,50.0,1.0,82.1517,0,0.0,35.508,0
57578.1,0,,123,64,0,50.0,1.0,82.0517,0,0.0,35.2757,0
59537.6,0,,123,64,0,50.0,1.0,81.9537,0,0.0,35.0481,0
59578.1,0,,122,64,0,50.0,1.0,81.9517,0,0.0,35.0434,0
61578.1,0,,122,64,0,50.0,1.0,81.8517,0,0.0,34.8113,0
62923.7,0,,122,64,0,50.0,1.0,81.7844,0,0.0,34.6552,0
63578.1,0,,121,64,0,50.0,1.0,81.7517,0,0.0,34.5793,0
65578.1,0,,121,64,0,50.0,1.0,81.6517,0,0.0,34.3474,0
66473.5,0,,121,64,0,50.0,1.0,81.6069,0,0.0,34.2436,0
67578.1,0,,120,64,0,50.0,1.0,81.5517,0,0.0,34.1157,0
69578.1,0,,120,64,0,50.0,1.0,81.4517,0,0.0,33.884,0
71578.1,0,,120,64,0,50.0,1.0,81.3517,0,0.0,33.6524,0
73578.1,0,,120,64,0,50.0,1.0,81.2517,0,0.0,33.4207,0
73992.0,0,,120,64,0,50.0,1.0,81.231,0,0.0,33.3728,0
74283.2,0,,119,64,0,50.0,1.0,81.2164,0,0.0,33.3424,0
75578.1,0,,118,64,0,50.0,1.0,81.1517,0,0.0,33.2077,0
76131.0,0,,118,64,0,50.0,1.0,81.124,0,0.0,33.1501,0
77578.1,0,,117,64,0,50.0,1.0,81.0517,0,0.0,32.9997,0
79289.5,0,,117,64,0,50.0,1.0,80.9661,0,0.0,32.8217,0
79578.1,0,,116,64,0,50.0,1.0,80.9517,0,0.0,32.7917,0
79935.7,0,,116,64,0,50.0,1.0,80.9338,0,0.0,32.7546,0
80063.1,0,,115,64,0,50.0,1.0,80.9274,0,0.0,32.7414,0
80381.7,0,,114,64,0,50.0,1.0,80.9115,0,0.0,32.7123,0
81173.6,0,,113,64,0,50.0,1.0,80.8719,0,0.0,32.6401,0
81578.1,0,,112,64,0,50.0,1.0,80.8517,0,0.0,32.6033,0
82757.4,0,,112,64,0,50.0,1.0,80.7927,0,0.0,32.4959,0
83578.1,0,,111,64,0,50.0,1.0,80.7517,0,0.0,32.4212,0
85578.1,0,,111,64,0,50.0,1.0,80.6517,0,0.0,32.2393,0
86307.3,0,,111,64,0,50.0,1.0,80.6152,0,0.0,32.173,0
87536.1,0,,110,64,0,50.0,1.0,80.5538,0,0.0,32.0613,0
87578.1,0,,109,64,0,50.0,1.0,80.5517,0,0.0,32.0575,0
87772.7,0,,109,64,0,50.0,1.0,80.5419,0,0.0,32.0399,0
88309.8,0,,108,64,0,50.0,1.0,80.5151,0,0.0,31.9912,0
89493.0,0,,107,64,0,50.0,1.0,80.4559,0,0.0,31.8841,0
89578.1,0,,106,64,0,50.0,1.0,80.4517,0,0.0,31.8776,0
91578.1,0,,106,64,0,50.0,1.0,80.3517,0,0.0,31.7234,0
91996.2,0,,106,64,0,50.0,1.0,80.3308,0,0.0,31.6912,0
93578.1,0,,105,64,0,50.0,1.0,80.2517,0,0.0,31.5695,0
94408.2,0,,105,64,0,50.0,1.0,80.2101,0,0.0,31.5056,0
95578.1,0,,104,64,0,50.0,1.0,80.1517,0,0.0,31.4325,0
97578.1,0,,104,64,0,50.0,1.0,80.0517,0,0.0,31.3075,0
99578.1,0,,104,64,0,50.0,1.0,79.9517,0,0.0,31.1825,0
100452.1,0,,104,64,0,50.0,1.0,79.908,0,0.0,31.1279,0
101578.1,0,,103,64,0,50.0,1.0,79.8517,0,0.0,31.0577,0
103578.1,0,,103,64,0,50.0,1.0,79.7517,0,0.0,30.9329,0
105578.1,0,,103,64,0,50.0,1.0,79.6517,0,0.0,30.8082,0
107578.1,0,,103,64,0,50.0,1.0,79.5517,0,0.0,30.6834,0
107852.2,0,,103,64,0,50.0,1.0,79.5379,0,0.0,30.6663,0
109578.1,0,,102,64,0,50.0,1.0,79.4517,0,0.0,30.5589,0
111578.1,0,,102,64,0,50.0,1.0,79.3517,0,0.0,30.4344,0
112157.6,0,,102,64,0,50.0,1.0,79.3227,0,0.0,30.3983,0
112995.0,0,,101,64,0,50.0,1.0,79.2808,0,0.0,30.3593,0
113578.1,0,,100,64,0,50.0,1.0,79.2517,0,0.0,30.3321,0
115043.0,0,,100,64,0,50.0,1.0,79.1784,0,0.0,30.264,0
115578.1,0,,99,64,0,50.0,1.0,79.1517,0,0.0,30.2392,0
117578.1,0,,99,64,0,50.0,1.0,79.0517,0,0.0,30.1465,0
118984.2,0,,99,64,0,50.0,1.0,78.9813,0,0.0,30.0813,0
119578.1,0,,98,64,0,50.0,1.0,78.9517,0,0.0,30.0638,0
121578.1,0,,98,64,0,50.0,1.0,78.8517,0,0.0,30.0049,0
