busy_ns,bytes_carried,dst,epoch_end_ns,epoch_start_ns,generation,src
,,24,1397391.3599999996,0.0,1,0
,,29,1397391.3599999996,0.0,1,0
,,16,1397391.3599999996,0.0,1,5
,,24,1397391.3599999996,0.0,1,8
,,29,1397391.3599999996,0.0,1,8
,,16,1397391.3599999996,0.0,1,11
2443837.4,5341184.0,24,2794782.7,0.0,1,0
1668110.5,3850240.0,16,2794782.7,0.0,1,11
2164972.2,5455872.0,29,2794782.7,0.0,1,0
2920659.5,6602752.0,24,2794782.7,0.0,1,8
1611585.7,3661824.0,16,2794782.7,0.0,1,5
2044890.0,5210112.0,29,2794782.7,0.0,1,8
