t_ns,collective,label,n_active_flows,n_eps_flows,n_ocs_flows,core_bw_gbps,core_utilisation,core_queue_mb,ocs_bw_gbps,ocs_bytes_carried_mb,port_queue_mb_max,n_dark
33578.1,0,,124,56,8,50.0,1.0,68.1907,12.9032,0.4333,37.9548,0
35578.1,0,,123,56,8,50.0,1.0,68.0907,13.0108,0.4593,37.7158,0
37578.1,0,,123,56,8,50.0,1.0,67.9907,13.0108,0.4853,37.4769,0
39578.1,0,,123,56,8,50.0,1.0,67.8907,13.0108,0.5113,37.2379,0
41578.1,0,,123,56,8,50.0,1.0,67.7907,13.0108,0.5374,36.999,0
43578.1,0,,123,56,8,50.0,1.0,67.6907,13.0108,0.5634,36.76,0
45578.1,0,,123,56,8,50.0,1.0,67.5907,13.0108,0.5894,36.5211,0
47578.1,0,,123,56,8,50.0,1.0,67.4907,13.0108,0.6154,36.2821,0
49578.1,0,,123,56,8,50.0,1.0,67.3907,13.0108,0.6414,36.0432,0
51578.1,0,,123,56,8,50.0,1.0,67.2907,13.0108,0.6675,35.8042,0
53578.1,0,,123,56,8,50.0,1.0,67.1907,13.0108,0.6935,35.5653,0
55578.1,0,,123,56,8,50.0,1.0,67.0907,13.0108,0.7195,35.3263,0
57578.1,0,,123,56,8,50.0,1.0,66.9907,13.0108,0.7455,35.0873,0
59537.6,0,,123,56,8,50.0,1.0,66.8927,13.0108,0.771,34.8532,0
59578.1,0,,122,56,8,50.0,1.0,66.8907,13.1183,0.7715,34.8484,0
61578.1,0,,122,56,8,50.0,1.0,66.7907,13.1183,0.7978,34.6097,0
62923.7,0,,122,56,8,50.0,1.0,66.7234,13.1183,0.8154,34.449,0
63578.1,0,,121,56,8,50.0,1.0,66.6907,13.2258,0.8241,34.371,0
65578.1,0,,121,56,8,50.0,1.0,66.5907,13.2258,0.8505,34.1324,0
66473.5,0,,121,56,8,50.0,1.0,66.5459,13.2258,0.8624,34.0256,0
67578.1,0,,120,56,8,50.0,1.0,66.4907,13.3407,0.8771,33.894,0
69578.1,0,,120,56,8,50.0,1.0,66.3907,13.3407,0.9038,33.6557,0
71578.1,0,,120,56,8,50.0,1.0,66.2907,13.3407,0.9305,33.4174,0
73578.1,0,,120,56,8,50.0,1.0,66.1907,13.3407,0.9572,33.1791,0
