rank,t_ns,state,collective,n_send,n_recv
0,0.0,COMPUTE,0,0,0
1,0.0,COMPUTE,0,0,0
2,0.0,COMPUTE,0,0,0
3,0.0,COMPUTE,0,0,0
4,0.0,COMPUTE,0,0,0
5,0.0,COMPUTE,0,0,0
6,0.0,COMPUTE,0,0,0
7,0.0,COMPUTE,0,0,0
8,0.0,COMPUTE,0,0,0
9,0.0,COMPUTE,0,0,0
10,0.0,COMPUTE,0,0,0
11,0.0,COMPUTE,0,0,0
12,0.0,COMPUTE,0,0,0
13,0.0,COMPUTE,0,0,0
14,0.0,COMPUTE,0,0,0
15,0.0,COMPUTE,0,0,0
16,0.0,COMPUTE,0,0,0
17,0.0,COMPUTE,0,0,0
18,0.0,COMPUTE,0,0,0
19,0.0,COMPUTE,0,0,0
20,0.0,COMPUTE,0,0,0
21,0.0,COMPUTE,0,0,0
22,0.0,COMPUTE,0,0,0
23,0.0,COMPUTE,0,0,0
24,0.0,COMPUTE,0,0,0
25,0.0,COMPUTE,0,0,0
26,0.0,COMPUTE,0,0,0
27,0.0,COMPUTE,0,0,0
28,0.0,COMPUTE,0,0,0
29,0.0,COMPUTE,0,0,0
30,0.0,COMPUTE,0,0,0
31,0.0,COMPUTE,0,0,0
0,0.0,SEND+RECV,0,31,3
1,0.0,RECV,0,0,4
2,0.0,RECV,0,0,4
3,0.0,RECV,0,0,4
4,0.0,RECV,0,0,4
5,0.0,RECV,0,0,4
6,0.0,RECV,0,0,4
7,0.0,RECV,0,0,4
8,0.0,SEND+RECV,0,31,3
9,0.0,RECV,0,0,4
10,0.0,RECV,0,0,4
11,0.0,RECV,0,0,4
12,0.0,RECV,0,0,4
13,0.0,RECV,0,0,4
14,0.0,RECV,0,0,4
15,0.0,RECV,0,0,4
16,0.0,SEND+RECV,0,31,3
17,0.0,RECV,0,0,4
18,0.0,RECV,0,0,4
19,0.0,RECV,0,0,4
20,0.0,RECV,0,0,4
21,0.0,RECV,0,0,4
22,0.0,RECV,0,0,4
23,0.0,RECV,0,0,4
24,0.0,SEND+RECV,0,31,3
25,0.0,RECV,0,0,4
26,0.0,RECV,0,0,4
27,0.0,RECV,0,0,4
28,0.0,RECV,0,0,4
29,0.0,RECV,0,0,4
30,0.0,RECV,0,0,4
31,0.0,RECV,0,0,4
0,1397391.4,IDLE,0,0,0
1,1397391.4,IDLE,0,0,0
2,1397391.4,IDLE,0,0,0
3,1397391.4,IDLE,0,0,0
4,1397391.4,IDLE,0,0,0
5,1397391.4,IDLE,0,0,0
6,1397391.4,IDLE,0,0,0
7,1397391.4,IDLE,0,0,0
8,1397391.4,IDLE,0,0,0
9,1397391.4,IDLE,0,0,0
10,1397391.4,IDLE,0,0,0
11,1397391.4,IDLE,0,0,0
12,1397391.4,IDLE,0,0,0
13,1397391.4,IDLE,0,0,0
14,1397391.4,IDLE,0,0,0
15,1397391.4,IDLE,0,0,0
16,1397391.4,IDLE,0,0,0
17,1397391.4,IDLE,0,0,0
18,1397391.4,IDLE,0,0,0
19,1397391.4,IDLE,0,0,0
20,1397391.4,IDLE,0,0,0
21,1397391.4,IDLE,0,0,0
22,1397391.4,IDLE,0,0,0
23,1397391.4,IDLE,0,0,0
24,1397391.4,IDLE,0,0,0
25,1397391.4,IDLE,0,0,0
26,1397391.4,IDLE,0,0,0
27,1397391.4,IDLE,0,0,0
28,1397391.4,IDLE,0,0,0
29,1397391.4,IDLE,0,0,0
30,1397391.4,IDLE,0,0,0
31,1397391.4,IDLE,0,0,0
0,1397391.4,SEND+RECV,1,3,31
1,1397391.4,SEND,1,4,0
2,1397391.4,SEND,1,4,0
3,1397391.4,SEND,1,4,0
4,1397391.4,SEND,1,4,0
5,1397391.4,SEND,1,4,0
6,1397391.4,SEND,1,4,0
7,1397391.4,SEND,1,4,0
8,1397391.4,SEND+RECV,1,3,31
9,1397391.4,SEND,1,4,0
10,1397391.4,SEND,1,4,0
11,1397391.4,SEND,1,4,0
12,1397391.4,SEND,1,4,0
13,1397391.4,SEND,1,4,0
14,1397391.4,SEND,1,4,0
15,1397391.4,SEND,1,4,0
16,1397391.4,SEND+RECV,1,3,31
17,1397391.4,SEND,1,4,0
18,1397391.4,SEND,1,4,0
19,1397391.4,SEND,1,4,0
20,1397391.4,SEND,1,4,0
21,1397391.4,SEND,1,4,0
22,1397391.4,SEND,1,4,0
23,1397391.4,SEND,1,4,0
