collective,phase,start_ns,finish_ns,network_ns,bytes,n_flows,eps_bytes,ocs_bytes,peak_core_utilisation,peak_port_queue_mb
0,dispatch,0.0,1746042.9,1746042.9,164978688.0,124,87302144.0,0,1.0,38.0631
1,combine,1746042.9,3173662.7,1427619.8,164978688.0,124,71380992.0,15921152.0,1.0,10.1258
2,dispatch,3173662.7,4643553.3,1469890.6,164495360.0,124,73494528.0,11800576.0,1.0,41.7673
3,combine,4643553.3,6113443.8,1469890.6,164495360.0,124,73494528.0,11800576.0,1.0,9.1422
4,dispatch,6113443.8,7479541.8,1366097.9,159600640.0,124,68304896.0,8327168.0,1.0,40.3609
5,combine,7479541.8,8845639.7,1366097.9,159600640.0,124,68304896.0,8327168.0,1.0,8.9906
6,dispatch,8845639.7,10342481.9,1496842.2,152031232.0,124,74842112.0,13230080.0,1.0,38.5694
7,combine,10342481.9,11839324.2,1496842.2,152031232.0,124,74842112.0,13230080.0,1.0,11.5837
8,dispatch,11839324.2,13266944.0,1427619.8,164978688.0,124,71380992.0,15921152.0,1.0,42.295
9,combine,13266944.0,14694563.8,1427619.8,164978688.0,124,71380992.0,15921152.0,1.0,10.1303
10,dispatch,14694563.8,16164454.4,1469890.6,164495360.0,124,73494528.0,11800576.0,1.0,41.8847
11,combine,16164454.4,17634345.0,1469890.6,164495360.0,124,73494528.0,11800576.0,1.0,9.1383
12,dispatch,17634345.0,19000442.9,1366097.9,159600640.0,124,68304896.0,8327168.0,1.0,40.2178
13,combine,19000442.9,20366540.8,1366097.9,159600640.0,124,68304896.0,8327168.0,1.0,8.9867
14,dispatch,20366540.8,21863383.0,1496842.2,152031232.0,124,74842112.0,13230080.0,1.0,38.6868
15,combine,21863383.0,23360225.3,1496842.2,152031232.0,124,74842112.0,13230080.0,1.0,11.5869
