collective,src,dst,bytes,means,tier,bw_gbps,start_ns,end_ns,dur_ns
all_to_all_dispatch,0,29,2727936,CROSS_POD,CROSS_POD,12.5,0.0,230234.9,230234.9
all_to_all_dispatch,0,24,1982464,CROSS_POD,CROSS_POD,12.5,230234.9,400832.0,170597.1
all_to_all_dispatch,0,11,1970176,INTRA_POD,INTRA_POD,50.0,400832.0,445235.5,44403.5
all_to_all_dispatch,0,5,1851392,INTRA_NODE,INTRA_NODE,450.0,0.0,6114.2,6114.2
all_to_all_dispatch,0,21,1822720,CROSS_POD,CROSS_POD,12.5,445235.5,603053.1,157817.6
all_to_all_dispatch,0,18,1777664,CROSS_POD,CROSS_POD,12.5,603053.1,757266.2,154213.1
all_to_all_dispatch,0,14,1740800,INTRA_POD,INTRA_POD,50.0,757266.2,797082.2,39816.0
all_to_all_dispatch,0,3,1728512,INTRA_NODE,INTRA_NODE,450.0,6114.2,11955.3,5841.1
all_to_all_dispatch,0,17,1662976,CROSS_POD,CROSS_POD,12.5,797082.2,942120.3,145038.1
all_to_all_dispatch,0,8,1462272,INTRA_POD,INTRA_POD,50.0,942120.3,976365.8,34245.4
all_to_all_dispatch,0,25,1441792,CROSS_POD,CROSS_POD,12.5,976365.8,1103709.1,127343.4
all_to_all_dispatch,0,1,1421312,INTRA_NODE,INTRA_NODE,450.0,11955.3,17113.8,5158.5
all_to_all_dispatch,0,4,1339392,INTRA_NODE,INTRA_NODE,450.0,17113.8,22090.2,4976.4
all_to_all_dispatch,0,27,1286144,CROSS_POD,CROSS_POD,12.5,1103709.1,1218600.6,114891.5
all_to_all_dispatch,0,28,1277952,CROSS_POD,CROSS_POD,12.5,1218600.6,1332836.8,114236.2
all_to_all_dispatch,0,26,1257472,CROSS_POD,CROSS_POD,12.5,1332836.8,1445434.6,112597.8
all_to_all_dispatch,0,9,1249280,INTRA_POD,INTRA_POD,50.0,1445434.6,1475420.2,29985.6
all_to_all_dispatch,0,22,1245184,CROSS_POD,CROSS_POD,12.5,1475420.2,1587034.9,111614.7
all_to_all_dispatch,0,10,1241088,INTRA_POD,INTRA_POD,50.0,1587034.9,1616856.6,29821.8
all_to_all_dispatch,0,7,1187840,INTRA_NODE,INTRA_NODE,450.0,22090.2,26729.9,4639.6
all_to_all_dispatch,0,12,1122304,INTRA_POD,INTRA_POD,50.0,1616856.6,1644302.7,27446.1
all_to_all_dispatch,0,6,1093632,INTRA_NODE,INTRA_NODE,450.0,26729.9,31160.2,4430.3
all_to_all_dispatch,0,23,1081344,CROSS_POD,CROSS_POD,12.5,1644302.7,1742810.2,98507.5
