rank,makespan_ns,egress_nic_ns,ingress_nic_ns,egress_nvlink_ns,ingress_nvlink_ns,n_send,bytes_send
0,1989350.4,1989350.4,0.0,34243.3,0.0,31,42328064
1,2545441.0,2545441.0,0.0,39010.4,17113.8,30,40660992
2,2803079.7,2803079.7,0.0,40503.2,39010.4,29,39923712
3,2850796.8,2850796.8,0.0,45024.5,23783.3,28,36491264
4,36600.8,0.0,0.0,0.0,36600.8,0,0
5,23928.9,0.0,0.0,0.0,23928.9,0,0
6,45024.5,0.0,0.0,0.0,45024.5,0,0
7,40840.0,0.0,0.0,0.0,40840.0,0,0
8,1702457.3,0.0,1702457.3,0.0,0.0,0,0
9,2364866.2,0.0,2364866.2,0.0,0.0,0,0
10,2505647.4,0.0,2505647.4,0.0,0.0,0,0
11,1061393.0,0.0,1061393.0,0.0,0.0,0,0
12,2640120.6,0.0,2640120.6,0.0,0.0,0,0
13,2668304.0,0.0,2668304.0,0.0,0.0,0,0
14,1538984.3,0.0,1538984.3,0.0,0.0,0,0
15,2696323.5,0.0,2696323.5,0.0,0.0,0,0
16,2722967.4,0.0,2722967.4,0.0,0.0,0,0
17,1668949.1,0.0,1668949.1,0.0,0.0,0,0
18,1504083.5,0.0,1504083.5,0.0,0.0,0,0
19,2753888.0,0.0,2753888.0,0.0,0.0,0,0
20,2850796.8,0.0,2850796.8,0.0,0.0,0,0
21,1360356.2,0.0,1360356.2,0.0,0.0,0,0
22,2476481.0,0.0,2476481.0,0.0,0.0,0,0
23,2779958.4,0.0,2779958.4,0.0,0.0,0,0
24,1020757.8,0.0,1020757.8,0.0,0.0,0,0
25,2220562.6,0.0,2220562.6,0.0,0.0,0,0
26,2611691.5,0.0,2611691.5,0.0,0.0,0,0
27,2334798.7,0.0,2334798.7,0.0,0.0,0,0
28,2104688.0,0.0,2104688.0,0.0,0.0,0,0
29,858680.3,0.0,858680.3,0.0,0.0,0,0
30,2829559.7,0.0,2829559.7,0.0,0.0,0,0
31,2805291.5,0.0,2805291.5,0.0,0.0,0,0
