rank,makespan_ns,egress_nic_ns,ingress_nic_ns,egress_nvlink_ns,ingress_nvlink_ns,n_send,bytes_send
0,2240186.9,2240186.9,0.0,34243.3,0.0,31,42328064
1,2724659.5,2724659.5,0.0,39010.4,17113.8,30,40660992
2,2993357.4,2993357.4,0.0,40503.2,39010.4,29,39923712
3,3223471.0,3223471.0,0.0,45024.5,23783.3,28,36491264
4,36600.8,0.0,0.0,0.0,36600.8,0,0
5,23928.9,0.0,0.0,0.0,23928.9,0,0
6,45024.5,0.0,0.0,0.0,45024.5,0,0
7,40840.0,0.0,0.0,0.0,40840.0,0,0
8,1702457.3,0.0,1702457.3,0.0,0.0,0,0
9,2364866.2,0.0,2364866.2,0.0,0.0,0,0
10,2505647.4,0.0,2505647.4,0.0,0.0,0,0
11,1061393.0,0.0,1061393.0,0.0,0.0,0,0
12,2640120.6,0.0,2640120.6,0.0,0.0,0,0
13,2668304.0,0.0,2668304.0,0.0,0.0,0,0
14,1538984.3,0.0,1538984.3,0.0,0.0,0,0
15,2696323.5,0.0,2696323.5,0.0,0.0,0,0
16,2790898.9,0.0,2790898.9,0.0,0.0,0,0
17,1668949.1,0.0,1668949.1,0.0,0.0,0,0
18,1504083.5,0.0,1504083.5,0.0,0.0,0,0
19,2883835.8,0.0,2883835.8,0.0,0.0,0,0
20,3223471.0,0.0,3223471.0,0.0,0.0,0,0
21,1360356.2,0.0,1360356.2,0.0,0.0,0,0
22,2476481.0,0.0,2476481.0,0.0,0.0,0,0
23,2976117.4,0.0,2976117.4,0.0,0.0,0,0
24,1020757.8,0.0,1020757.8,0.0,0.0,0,0
25,2220562.6,0.0,2220562.6,0.0,0.0,0,0
26,2611691.5,0.0,2611691.5,0.0,0.0,0,0
27,2334798.7,0.0,2334798.7,0.0,0.0,0,0
28,2104688.0,0.0,2104688.0,0.0,0.0,0,0
29,858680.3,0.0,858680.3,0.0,0.0,0,0
30,3150522.6,0.0,3150522.6,0.0,0.0,0,0
31,3065449.9,0.0,3065449.9,0.0,0.0,0,0
