collective,src,dst,bytes,means,tier,bw_gbps,start_ns,end_ns,dur_ns
all_to_all_dispatch,0,29,2727936,OCS,OPTICAL,50.0,0.0,60558.7,60558.7
all_to_all_dispatch,0,24,1982464,OCS,OPTICAL,50.0,60558.7,106208.0,45649.3
all_to_all_dispatch,0,11,1970176,INTRA_POD,INTRA_POD,50.0,106208.0,150611.5,44403.5
all_to_all_dispatch,0,5,1851392,INTRA_NODE,INTRA_NODE,450.0,0.0,6114.2,6114.2
all_to_all_dispatch,0,21,1822720,OCS,OPTICAL,50.0,150611.5,193065.9,42454.4
all_to_all_dispatch,0,18,1777664,OCS,OPTICAL,50.0,193065.9,234619.2,41553.3
all_to_all_dispatch,0,14,1740800,INTRA_POD,INTRA_POD,50.0,234619.2,274435.2,39816.0
all_to_all_dispatch,0,3,1728512,INTRA_NODE,INTRA_NODE,450.0,6114.2,11955.3,5841.1
all_to_all_dispatch,0,17,1662976,OCS,OPTICAL,50.0,274435.2,313694.7,39259.5
all_to_all_dispatch,0,8,1462272,INTRA_POD,INTRA_POD,50.0,313694.7,347940.2,34245.4
all_to_all_dispatch,0,25,1441792,CROSS_POD,CROSS_POD,12.5,347940.2,475283.5,127343.4
all_to_all_dispatch,0,1,1421312,INTRA_NODE,INTRA_NODE,450.0,11955.3,17113.8,5158.5
all_to_all_dispatch,0,4,1339392,INTRA_NODE,INTRA_NODE,450.0,17113.8,22090.2,4976.4
all_to_all_dispatch,0,27,1286144,CROSS_POD,CROSS_POD,12.5,475283.5,590175.0,114891.5
all_to_all_dispatch,0,28,1277952,CROSS_POD,CROSS_POD,12.5,590175.0,704411.2,114236.2
all_to_all_dispatch,0,26,1257472,CROSS_POD,CROSS_POD,12.5,704411.2,817009.0,112597.8
all_to_all_dispatch,0,9,1249280,INTRA_POD,INTRA_POD,50.0,817009.0,846994.6,29985.6
all_to_all_dispatch,0,22,1245184,CROSS_POD,CROSS_POD,12.5,846994.6,958609.3,111614.7
all_to_all_dispatch,0,10,1241088,INTRA_POD,INTRA_POD,50.0,958609.3,988431.0,29821.8
all_to_all_dispatch,0,7,1187840,INTRA_NODE,INTRA_NODE,450.0,22090.2,26729.9,4639.6
all_to_all_dispatch,0,12,1122304,INTRA_POD,INTRA_POD,50.0,988431.0,1015877.1,27446.1
all_to_all_dispatch,0,6,1093632,INTRA_NODE,INTRA_NODE,450.0,26729.9,31160.2,4430.3
all_to_all_dispatch,0,23,1081344,CROSS_POD,CROSS_POD,12.5,1015877.1,1114384.6,98507.5
all_to_all_dispatch,0,31,1052672,CROSS_POD,CROSS_POD,12.5,1114384.6,1210598.4,96213.8
all_to_all_dispatch,0,13,1036288,INTRA_POD,INTRA_POD,50.0,1210598.4,1236324.2,25725.8
all_to_all_dispatch,0,19,1028096,CROSS_POD,CROSS_POD,12.5,1236324.2,1330571.8,94247.7
all_to_all_dispatch,0,15,999424,INTRA_POD,INTRA_POD,50.0,1330571.8,1355560.3,24988.5
all_to_all_dispatch,0,30,987136,CROSS_POD,CROSS_POD,12.5,1355560.3,1446531.2,90970.9
all_to_all_dispatch,0,16,974848,CROSS_POD,CROSS_POD,12.5,1446531.2,1536519.0,89987.8
all_to_all_dispatch,0,20,790528,CROSS_POD,CROSS_POD,12.5,1536519.0,1611761.3,75242.2
all_to_all_dispatch,0,2,487424,INTRA_NODE,INTRA_NODE,450.0,31160.2,34243.3,3083.2
all_to_all_dispatch,1,29,2605056,OCS,OPTICAL,50.0,60558.7,118659.8,58101.1
all_to_all_dispatch,1,11,1912832,INTRA_POD,INTRA_POD,50.0,150611.5,193868.2,43256.6
all_to_all_dispatch,1,24,1875968,OCS,OPTICAL,50.0,193868.2,237387.5,43519.4
all_to_all_dispatch,1,5,1798144,INTRA_NODE,INTRA_NODE,450.0,6114.2,12110.1,5995.9
all_to_all_dispatch,1,18,1789952,OCS,OPTICAL,50.0,237387.5,279186.6,41799.0
all_to_all_dispatch,1,21,1761280,OCS,OPTICAL,50.0,279186.6,320412.2,41225.6
all_to_all_dispatch,1,3,1695744,INTRA_NODE,INTRA_NODE,450.0,12110.1,17878.4,5768.3
