rank,makespan_ns,egress_nic_ns,ingress_nic_ns,egress_nvlink_ns,ingress_nvlink_ns,n_send,bytes_send
0,1611761.3,1611761.3,0.0,34243.3,0.0,31,42328064
1,2096233.9,2096233.9,0.0,39010.4,17113.8,30,40660992
2,2364931.8,2364931.8,0.0,40503.2,39010.4,29,39923712
3,2595045.4,2595045.4,0.0,45024.5,23783.3,28,36491264
4,36600.8,0.0,0.0,0.0,36600.8,0,0
5,23928.9,0.0,0.0,0.0,23928.9,0,0
6,45024.5,0.0,0.0,0.0,45024.5,0,0
7,40840.0,0.0,0.0,0.0,40840.0,0,0
8,834915.5,0.0,834915.5,0.0,0.0,0,0
9,1736440.6,0.0,1736440.6,0.0,0.0,0,0
10,1877221.8,0.0,1877221.8,0.0,0.0,0,0
11,366044.5,0.0,366044.5,0.0,0.0,0,0
12,2011695.0,0.0,2011695.0,0.0,0.0,0,0
13,2039878.4,0.0,2039878.4,0.0,0.0,0,0
14,624993.9,0.0,624993.9,0.0,0.0,0,0
15,2067897.9,0.0,2067897.9,0.0,0.0,0,0
16,2162473.3,0.0,2162473.3,0.0,0.0,0,0
17,801407.4,0.0,801407.4,0.0,0.0,0,0
18,590093.1,0.0,590093.1,0.0,0.0,0,0
19,2255410.2,0.0,2255410.2,0.0,0.0,0,0
20,2595045.4,0.0,2595045.4,0.0,0.0,0,0
21,551161.3,0.0,551161.3,0.0,0.0,0,0
22,1848055.4,0.0,1848055.4,0.0,0.0,0,0
23,2347691.8,0.0,2347691.8,0.0,0.0,0,0
24,325409.3,0.0,325409.3,0.0,0.0,0,0
25,1592137.0,0.0,1592137.0,0.0,0.0,0,0
26,1983265.9,0.0,1983265.9,0.0,0.0,0,0
27,1706373.1,0.0,1706373.1,0.0,0.0,0,0
28,1476262.4,0.0,1476262.4,0.0,0.0,0,0
29,226670.1,0.0,226670.1,0.0,0.0,0,0
30,2522097.0,0.0,2522097.0,0.0,0.0,0,0
31,2437024.3,0.0,2437024.3,0.0,0.0,0,0
